Fourth Week,Learning path,Program,Note,Attachment,Trainer,Notes,Notes 2,Start date,End date
Let's sum up the training,Third week,,"Two quizzes! Here and here. Good luck!!
Answer this case study! 
Create the sales story based on the clients needs. ",Motivational Quotes LinkedIn Banner (2).jpg (https://v5.airtableusercontent.com/v3/u/45/45/1757880000000/4qDd4wxZj5hQMVbKv72i_Q/Z1Er3_Fo4AeecPLjn930-K29G_L1z1FRwqW4v1OqtEe2IQPTNjSD6EkJ_a8vkPsc6A5R27-Na3d8bpzmPatk6XbRc3zatsaEnqP6tomeCXjpxh2pjGkLeB5Jd4BJW5ylLpYrhxKaRbfucQAzehypVXl6_5aTb9nwfEP5I58-RvrBml9pE49cZHG6sBLCWXfO/_YolwSwhTmQ-ccRdOucKxcn5Z4rG5Wcf2SVO1sLhI4c),Case study - Icecat (1).pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757880000000/I6amuW3o5v7UG7tIVWkBWA/VxiSobgsN__gyd2Csr_jdX8QTzScQyexEYGNrIcC5Z_0WfXhUuznAlgK0LV0Z6VUBpEhDONl87dWiLEkSq4XyKuMRUoAVCa464uP1RDEi-5Df2TJaIK5hqrVkLbqoSuOSgIdlDVlMIJyRL9dNVox7q8no6tnwGRiT74q1Rxw2d4/RkNnrxzbjiGmqEdz4pi84gSs0K3oi9X141UQaYuAH7I)),Kasper,,,,
1 – Icecat competitors,Third week,Have a look at Icecat competitors here. + additional info on the right regarding Flixmedia.,,Icecat VS Flixmedia.pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757880000000/FxN6kUUPV5cQ2EHG5F8BFA/22DvN4wVXYVjNEPTkhd8jS9nMizUnsfNyqddtuLMPKc5KJn9F1afNgA4yZgyJf6TXdUf0KILtIKjYva4ePuAFFAwhibOgWzhcFvw_iZMtawHCB7mnj67RbtkYjkgC_g-fSIwS7xbxFtZYwfICBDFz8OCGJMxmGYXhwN271_N25k/cjv7aOeC_gPlt5pAYThdeuBcyVxrp4In4OmbCnB0YCk),Sandra,,,,
2 – PIM / Icecat PIM & Connectors,Fourth week,Useful information about Icecat PIM ,"Youtube presentation here : Link
Icecat page here : Link","image_2024_07_16T13_27_08_650Z.png (https://v5.airtableusercontent.com/v3/u/45/45/1757880000000/OPPe80XuKqsqQ44EwJeoqQ/6ABVyE0VAm8rdlaR7eqhYFldrsdrQ0DPRUQhH8LumZRnJ4W8phu0ZGaf5uwRtM0H_T17wmxbNlO3CqMr9GQi6LOW-s_foCRIE3XAn1CH2IrVQCnIL4Rv2JzuWwDWbugBd5HIZAsoPsXI5HwLRwJ__Jaep0FK6JetNw6JVIDYMcoWV41ljet0tHIt9O-YWJs4/_IiAW3zgSTpYR9XE1tTE-t_BwD9eVj4khqb0EBzFPSY),Mastering PIM Whitepaper.pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757880000000/7bmQmj_g6IZN7w1OTR6E6w/oWevCdkQIYAn-vLU0JmVwlOIb_wJYGZKQsuIfTqpTw6wqwOlR2R8DHZzVSL1iD-Ke360z3NR48Vtn7TLzwPG4P6uiWbWspHEPR0WLmpYy2cTUpnIKRslNdgMTbs9zGgwPTq0UBw0iRkWkW7KhVkWX6h27KVt4PkBO7KwjOCLJhGgYkSWzvuadA_yMFrnMk4U/UbtHwG4Yg1RcUscgVf7G8flvwA0VbeES7qfGPb7EDRQ)",Eli,,,,
2 – Checklists - brand & webshops guidelines,Fourth week,"Content user -> webshops 
Sales Checklist for Content Users 
Sales Checklist for Brands",Tasks: ,,Lana,,,,
4 – Pipedrive ,Fourth week,Our CRM ! Check this out,,,Bence,,,,
6 – Marketing template and docs and contracts,Fourth week,"IMPORTANT: all the Icecat presentations with a new look and updated content. You can access the updated presentations in this Drive folder. To make navigation easier, we have categorized the presentations into subfolders by topic.

Please adhere to the following guidelines:
#NAME?
#NAME?

Additionally, you will find a comprehensive PowerPoint template in the folder, which can be used for both internal and external purposes. We have also included a short demo on how to utilize the template effectively. Please access the demo here. 

For any other marketing materials, please check out this folder. ",,,Vazha,,,,
7 – Editorial team,Fourth week,"Our Chief Editorial Officer give you more insights here.
Editors are collecting content - no creation since brands stay the owner of the brand content.","As a reminder, here are the proper channels for different types of requests:
- Icecat Brand Cloud: vendorcentral@icecat.com
- Open Icecat SLA (Sponsored brand content created by Icecat): data@icecat.biz
- Technical Support issues: support@icecat.biz
- For QA/content improvement questions Igor: igor.kautnyi@icecat.com
- Product Stories production requests: studio@icecat.com 
- For product story technical questions: eugene eugene.ignatenko@icecat.biz

Please help us keep these channels clear and organised. 💪 MORE DETAILS HERE ",,You,,,,
Testseek ,Fourth week,"Product reviews, video reviews, expert reviews
https://www.testseek.com/",,,Lana,,,,
Let's fill the gaps together,Fourth week,"So copy past this doc and tell us which line you dont feel confortable with! 
We will also ask you to pitch us some random lines ",,,,,,,
Docusign,BONUS,"TO SEND CONTRACT, only use DOCUSIGN please. 
1. Create an account using your Icecat email address. Use icecat corporate account/have approval from team lead. 
2. Signatory: Emre Tan (emre.tan@icecat.com).
3. Add Icecat administration (administratie@icecat.biz) in received a copy.",,,,,,,
Value based Sales & Personal Development Plan,BONUS,"Sales tips here 
It is important for you to think through what your career plan is. And what you want to achieve at Icecat.  
We hope you will be successful and stay long with us. Maybe you will be our next sales leader or the head of the company one day. 
Setting yourself some goals and thinking about how you will achieve them will help you do your best in your role at Icecat. 
We hope it will be a good stepping stone for you to your next role. Whether it is with us at Icecat or somewhere else. 
Use the blogpost as inspiration to write your own personal development plan.",,,You,,,,
Listening Skills,BONUS,A group activity to practice listening skills.,,,You,,,,
Icecat Add-ons,BONUS,"Icecat Add-Ons Overview
",,,,,,,
Google Shopping Connector,BONUS,Upload Your Brand’s Product Content in Google Manufacturer Center ,,,,,,,
Reeleezee ,BONUS,Internal tool for invoicing / follow up your account status" 
- Login page here","Ask administratie@icecat.biz for an account and URL. 
login in and deep dive in the world of our invoicing system. ",,,,,,
Mergers and Acquisitions,BONUS,"Icecat is investing in companies. In the video Martijn Hoogeveen, Icecat CEO, is explaining which criterias we are looking for in companies we invest in.

https://drive.google.com/file/d/1HdEeHF2cMZVZMecGoyYTCXuh7InTrg6j/view?usp=share_link

https://drive.google.com/file/d/1JgAzED178aLgDGFfhdbFfxOhhs5MvX1m/view?usp=share_link",,,You,,,,
Channel engine connector,BONUS,Channel Engine Documentation,,Icecat Channel engine connector.pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757880000000/YYC2C6Qe5UgRvVd1yZboeQ/jy79R8U69ccLcFxRIe0TiblTZTK1Om0Yw-L9zqpWZ4Jh1S9tCYyd5JQHsRQmvKD7hc3RmBt39HlcVoo22Lbue2W6Uj3Y63wmnZRiFgCMi7xYrn0EjCgcZ0pWFoHFSWxGWfDJaLYaB4_n5iZC323OjtqLPVIm87o__VxLUe8HMiHsrtp8tyrOmT9FVQNfN3n4/BNNTDF6-xWekG65v8JYjh4iPZx3WP-qBD9rT2AAoG6Y),,,,,
Akeneo connector,BONUS,Akeneo Documentation here,,,,,,,
Mirakl connector,BONUS,https://docs.google.com/presentation/d/1DRRTsIEBKrdYmQp9NYkmPRYT_bHPG-Iu25BnyG6BYKY/edit#slide=id.p8,,,,,,,
